video,frames
P01_01,49565
P01_02,15064
P01_03,3566
P01_04,3157
P01_05,38160
P01_06,14767
P01_07,4842
P01_08,2969
P01_09,107132
P01_10,4171
P01_11,16846
P01_12,5214
P01_13,2813
P01_14,40578
P01_15,27749
P01_16,5239
P01_17,34594
P01_18,110780
P01_19,14339
P01_101,54944
P01_102,8248
P01_103,5341
P01_104,7369
P01_105,63611
P01_106,21701
P01_107,3583
P01_108,4197
P01_109,111241
P02_01,6989
P02_02,6211
P02_03,37566
P02_04,12672
P02_05,557
P02_06,31067
P02_07,3257
P02_08,2009
P02_09,65995
P02_10,1462
P02_11,1623
P02_12,39460
P02_13,885
P02_14,966
P02_15,2821
P02_101,7312
P02_102,6812
P02_103,3665
P02_104,17015
P02_105,12311
P02_106,1930
P02_107,3644
P02_108,38749
P02_109,27377
P02_110,5377
P02_111,1577
P02_112,35479
P02_113,13461
P02_114,1071
P02_115,3195
P02_116,2051
P02_117,10451
P02_118,23294
P02_119,2759
P02_120,22153
P02_121,11794
P02_122,23019
P02_123,41950
P02_124,6955
P02_125,19693
P02_126,4462
P02_127,790
P02_128,4057
P02_129,33400
P02_130,32504
P02_131,20247
P02_132,6812
P02_133,2413
P02_134,808
P02_135,7835
P02_136,11756
P02_137,34993
P03_02,12798
P03_03,2130
P03_04,50123
P03_05,6730
P03_06,3274
P03_07,3216
P03_08,883
P03_09,18781
P03_10,3083
P03_11,1579
P03_12,647
P03_13,1679
P03_14,7802
P03_15,314
P03_16,8151
P03_17,4465
P03_18,727
P03_19,16510
P03_20,10818
P03_21,957
P03_22,1840
P03_23,15289
P03_24,24654
P03_25,1116
P03_26,334
P03_27,2914
P03_28,2566
P03_101,25589
P03_102,5064
P03_103,50050
P03_104,12335
P03_105,6161
P03_106,2671
P03_107,7634
P03_108,1282
P03_109,34022
P03_110,543
P03_111,2230
P03_112,15239
P03_113,4450
P03_114,829
P03_115,667
P03_116,1719
P03_117,21686
P03_118,3784
P03_119,20171
P03_120,24440
P03_121,11650
P03_122,1144
P03_123,9574
P04_01,34643
P04_02,43129
P04_03,24055
P04_04,25744
P04_05,62061
P04_06,23648
P04_07,3689
P04_08,2480
P04_09,12341
P04_10,34253
P04_11,7241
P04_12,4819
P04_13,9428
P04_14,2631
P04_15,746
P04_16,6511
P04_17,4433
P04_18,3744
P04_19,465
P04_20,2764
P04_21,5914
P04_22,5141
P04_23,29959
P04_24,15062
P04_25,11445
P04_26,1107
P04_27,3145
P04_28,4755
P04_29,12762
P04_30,9381
P04_31,24764
P04_32,1606
P04_33,5523
P04_101,16484
P04_102,4660
P04_103,2017
P04_104,20541
P04_105,56472
P04_106,7599
P04_107,44512
P04_108,5389
P04_109,29416
P04_110,21671
P04_111,4652
P04_112,14737
P04_113,35474
P04_114,4801
P04_115,7749
P04_116,17209
P04_117,10052
P04_118,4458
